"Source Name","Program Name","Path","Date/Time","Count","Comment","Data Source"
"TRUSTEDINSTALLER.EXE-3CC531E5.pf","TRUSTEDINSTALLER.EXE","/WINDOWS/SERVICING","2015-03-25 16:50:28 EET","4","Prefetch File","CW Image.dd"
"UNINST.EXE-0867DC84.pf","UNINST.EXE","/PROGRAM FILES/CCLEANER","2015-03-25 17:18:29 EET","1","Prefetch File","CW Image.dd"
"UNLODCTR.EXE-531FACC7.pf","UNLODCTR.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:54:01 EET","7","Prefetch File","CW Image.dd"
"UNLODCTR.EXE-A3D4DEEB.pf","UNLODCTR.EXE","/WINDOWS/SYSWOW64","2015-03-25 16:54:01 EET","7","Prefetch File","CW Image.dd"
"VSSVC.EXE-B8AFC319.pf","VSSVC.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:57:18 EET","6","Prefetch File","CW Image.dd"
"WERMGR.EXE-0F2AC88C.pf","WERMGR.EXE","/WINDOWS/SYSTEM32","2015-03-25 15:19:10 EET","5","Prefetch File","CW Image.dd"
"WEVTUTIL.EXE-400D93E8.pf","WEVTUTIL.EXE","/WINDOWS/SYSWOW64","2015-03-25 16:54:09 EET","2","Prefetch File","CW Image.dd"
"WEVTUTIL.EXE-EF5861C4.pf","WEVTUTIL.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:54:09 EET","4","Prefetch File","CW Image.dd"
"WINWORD.EXE-CECBA770.pf","WINWORD.EXE","/PROGRAM FILES/MICROSOFT OFFICE/OFFICE15","2015-03-25 17:24:48 EET","3","Prefetch File","CW Image.dd"
"WMIADAP.EXE-F8DFDFA2.pf","WMIADAP.EXE","/WINDOWS/SYSTEM32/WBEM","2015-03-25 15:09:47 EET","11","Prefetch File","CW Image.dd"
"WMIPRVSE.EXE-1628051C.pf","WMIPRVSE.EXE","/WINDOWS/SYSTEM32/WBEM","2015-03-25 17:15:55 EET","23","Prefetch File","CW Image.dd"
"WMPLAYER.EXE-26C72A86.pf","WMPLAYER.EXE","/PROGRAM FILES (X86)/WINDOWS MEDIA PLAYER","2015-03-25 16:42:47 EET","1","Prefetch File","CW Image.dd"
"WMPNSCFG.EXE-FC0D39BF.pf","WMPNSCFG.EXE","/PROGRAM FILES/WINDOWS MEDIA PLAYER","2015-03-25 16:19:50 EET","20","Prefetch File","CW Image.dd"
"WSQMCONS.EXE-118B52B7.pf","WSQMCONS.EXE","","2015-03-25 15:14:45 EET","1","Prefetch File","CW Image.dd"
"WUAUCLT.EXE-70318591.pf","WUAUCLT.EXE","/WINDOWS/SYSTEM32","2015-03-25 16:50:39 EET","1","Prefetch File","CW Image.dd"
"WUSA.EXE-A8D5906C.pf","WUSA.EXE","/WINDOWS/SYSWOW64","2015-03-25 16:50:26 EET","1","Prefetch File","CW Image.dd"
"XPSRCHVW.EXE-FEB3BF01.pf","XPSRCHVW.EXE","/WINDOWS/SYSTEM32","2015-03-25 17:28:47 EET","1","Prefetch File","CW Image.dd"
